accuse@/location@/location,NONE,NONE,NONE
accuse@/person@/person,NONE,NONE,NONE
acknowledge@/person@/time,NONE,NONE,NONE
acquire@/organization@/person,employmentmembership,employmentmembership.org,employmentmembership.employeemember
acquire@/organization@/person,startposition,startposition.entity,startposition.person
activate@/organization@/person,employmentmembership,employmentmembership.org,employmentmembership.employeemember
activate@/organization@/person,startposition,startposition.entity,startposition.person
admit@/person@/person,NONE,NONE,NONE
agree@/location@/time,NONE,NONE,NONE
allow@/organization@/organization,NONE,NONE,NONE
apologize to@/person@/person,correspondence,correspondence.entity,correspondence.entity
apologize@/person@/time,correspondence,correspondence.entity,correspondence.entity
approve@/organization@/organization,NONE,NONE,NONE
arrive in@/person@/location,transportperson,transportperson.person,transportperson.destination
arrive in@/person@/time,transportperson,transportperson.person,transportperson.destination
assure@/person@/person,correspondence,correspondence.entity,correspondence.entity
attend@/person@/organization,studentalum,studentalum.studentalumni,studentalum.org
beat@/organization@/organization,NONE,NONE,NONE
beat@/person@/person,NONE,NONE,NONE
begin@/location@/time,NONE,NONE,NONE
believe@/person@/person,NONE,NONE,NONE
buy@/organization@/organization,mergeorg,mergeorg.org,mergeorg.org
buy@/organization@/organization,transferownership,transferownership.giver,transferownership.beneficiary
cast as@/person@/person,NONE,NONE,NONE
challenge@/person@/person,broadcast,broadcast.entity,broadcast.entity
confirm@/person@/time,NONE,NONE,NONE
confront@/person@/person,meet,meet.entity,meet.entity
congratulate@/person@/person,correspondence,correspondence.entity,correspondence.entity
criticize@/person@/person,broadcast,broadcast.entity,broadcast.entity
defend@/person@/person,broadcast,broadcast.entity,broadcast.entity
deny@/organization@/organization,NONE,NONE,NONE
die at@/person@/number,die,die.victim,NONE
die in@/person@/location,die,die.victim,die.place
die in@/person@/time,die,die.victim,die.time
die@/person@/number,die,die.victim,NONE
die@/person@/time,die,die.victim,die.time
dominate@/organization@/organization,NONE,NONE,NONE
earn@/organization@/money,transfermoney,transfermoney.recipient,transfermoney.money
earn@/person@/money,transfermoney,transfermoney.recipient,transfermoney.money
embrace@/person@/person,meet,meet.entity,meet.entity
